Item,Count
Control  Systems Engineering Civil  Structural Engineering Building  Construction Computer Networks  Communications,1
Pharmacology Plant Science Drug Discovery Complementary  Alternative Medicine,1
Small Animals,1
Analysis Applied Mamatics,1
Surgery Medical  Surgical Nursing Anessiology  Pain Medicine,1
Mamatics  Applied Mamatics,1
Geochemistry  Petrology,1
Economics  Econometrics Finance Development,1
Civil  Structural Engineering Geotechnical Engineering  Engineering Geology Mechanics  Materials Mechanical Engineering Electrical  Electronic Engineering,1
Stware Computer Graphics  Computer-Aided Design Computer Vision  Pattern Recognition Human-Computer Interaction,1
Biochemistry Clinical Biochemistry,1
Medicine  Molecular Medicine Biochemistry Genetics  Molecular Biology  Cell Biology,1
Artificial Intelligence Computer Science Applications Control  Systems Engineering Electrical  Electronic Engineering,1
Education Human-Computer Interaction Computer Science Applications,1
Agronomy  Crop Science Insect Science,1
Condensed Matter Physics Physical  Theoretical Chemistry Polymers  Plastics Materials Chemistry,1
Management Information Systems Economics  Econometrics Strategy  Management Marketing Management Monitoring Policy  Law Management  Technology  Innovation,1
Artificial Intelligence Computer Networks  Communications Computer Science Applications Information Systems Signal Processing Information Systems  Management,1
Chemistry  Condensed Matter Physics Surfaces  Interfaces Surfaces Coatings  Films Materials Chemistry,1
Materials Science  Condensed Matter Physics Surfaces  Interfaces Spectroscopy Electrochemistry,1
Decision Sciences  Information Systems  Management Aerospace Engineering Mechanics  Materials Artificial Intelligence,1
Analytical Chemistry Biochemistry Environmental Chemistry Spectroscopy,1
Chemistry  Condensed Matter Physics Physics  Astronomy  Surfaces  Interfaces Surfaces Coatings  Films,1
Stware Hardware  Architecture Computer Vision  Pattern Recognition Electrical  Electronic Engineering Artificial Intelligence,1
Computer Science Applications Information Systems  Management Artificial Intelligence,1
Epidemiology Cardiology  Cardiovascular Medicine,1
Logic,1
Ceramics  Composites Mechanics  Materials Mechanical Engineering Industrial  Manufacturing Engineering,1
Nephrology Advanced  Specialized Nursing,1
Biophysics Applied Microbiology  Biotechnology,1
Geology,1
Biophysics Biochemistry Chemistry  Atomic  Molecular Physics  Optics Condensed Matter Physics,1
Chemical Engineering  Organic Chemistry Polymers  Plastics,1
Microbiology Immunology  Allergy Immunology Microbiology,1
Physiology Veterinary,1
Immunology Developmental Biology,1
Electronic Optical  Magnetic Materials Materials Science  Condensed Matter Physics Materials Chemistry,1
Biochemistry Clinical Biochemistry Biochemistry,1
Geotechnical Engineering  Engineering Geology Computer Science Applications,1
Surgery Oral Surgery Pathology  Forensic Medicine Dentistry  Radiology Nuclear Medicine  Imaging,1
Endocrinology Diabetes  Metabolism Physiology Histology,1
Biochemistry Chemistry  Chemical Engineering  Industrial  Manufacturing Engineering Materials Chemistry,1
Safety Risk Reliability  Quality Energy,1
Molecular Medicine Cell Biology,1
Environmental Engineering Civil  Structural Engineering Ecological Modeling Water Science  Technology Waste Management  Disposal Pollution,1
Health  Sociology  Political Science Life-span  Life-course Studies,1
Materials Science  Condensed Matter Physics Mechanical Engineering Applied Mamatics,1
Anatomy Surgery Pathology  Forensic Medicine Radiology Nuclear Medicine  Imaging,1
Pathology  Forensic Medicine Cell Biology,1
Forestry Ecology Soil Science,1
Orthodontics,1
Biophysics Biomedical Engineering Radiology Nuclear Medicine  Imaging Physics  Astronomy,1
Dental Hygiene,1
Transportation Safety Research Urban Studies Engineering,1
Geophysics Earth  Planetary Sciences,1
Environmental Engineering,1
Environmental Chemistry Immunology Aquatic Science Immunology  Microbiology,1
Water Science  Technology Earth  Planetary Sciences,1
Metals  Alloys Industrial  Manufacturing Engineering Materials Chemistry,1
Biochemistry Molecular Biology Genetics Cancer Research,1
Clinical Psychology Applied Psychology Psychiatry  Mental Health,1
Chemistry  Materials Science  Condensed Matter Physics,1
Nuclear Energy  Engineering Safety Risk Reliability  Quality Energy Engineering  Power Technology Waste Management  Disposal,1
Biotechnology Bioengineering Applied Microbiology  Biotechnology Biomedical Engineering,1
Parasitology Infectious Diseases Pharmacology,1
Biochemistry Physiology Agricultural  Biological Sciences  Developmental Biology,1
Biotechnology Animal Science  Zoology Endocrinology,1
Medicine  Health  Health Policy Nutrition  Dietetics Public Health Environmental  Occupational Health,1
Stware Computer Science  Nuclear  High Energy Physics,1
Biophysics Biomedical Engineering Orthopedics  Sports Medicine Rehabilitation,1
Economics Econometrics  Finance  Development Business Management  Accounting,1
Computer Science  Chemistry  Mamatics  Physics  Astronomy,1
Energy Engineering  Power Technology Electrical  Electronic Engineering,1
Civil  Structural Engineering Building  Construction Computer Science Applications,1
Neurology,1
Biochemistry Chemistry  Chemical Engineering  Renewable Energy Sustainability   Environment Environmental Science  Agricultural  Biological Sciences  Earth  Planetary Sciences,1
Water Science  Technology Ocean Engineering Pollution,1
History Economics  Econometrics Economics Econometrics  Finance,1
Biomedical Engineering Biomaterials Medicine  Biochemistry,1
Information Systems Atomic  Molecular Physics  Optics Engineering  Computer Networks  Communications Artificial Intelligence,1
Artificial Intelligence Computer Science Applications Decision Sciences,1
Engineering  Environmental Science  Materials Science  Physics  Astronomy  Chemical Engineering  Earth  Planetary Sciences,1
Biomaterials Biomedical Engineering Pharmaceutical Science,1
Pediatrics Perinatology  Child Health Surgery,1
Food Animals Animal Science  Zoology Endocrinology,1
Food Science Chemistry  Industrial  Manufacturing Engineering,1
History Literature  Literary Theory Religious Studies History  Philosophy  Science Development Anthropology Cultural Studies,1
Electronic Optical  Magnetic Materials Atomic  Molecular Physics  Optics Biomedical Engineering Computer Science Applications Electrical  Electronic Engineering,1
Catalysis Chemistry  Biochemistry Colloid  Surface Chemistry,1
Business Management  Accounting  Development Economics Econometrics  Finance,1
Surgery Oncology,1
Arts  Humanities  Social Sciences  Psychology  Economics Econometrics  Finance,1
Social Psychology,1
Business  International Management Geography Planning  Development Strategy  Management Management Monitoring Policy  Law,1
Environmental Engineering Environmental Chemistry Water Science  Technology Environmental Science  Geochemistry  Petrology,1
Environmental Engineering Environmental Chemistry Chemistry  Pollution Health Toxicology  Mutagenesis,1
Biotechnology Surfaces  Interfaces Physical  Theoretical Chemistry Colloid  Surface Chemistry,1
Parasitology Animal Science  Zoology Infectious Diseases,1
Atmospheric Science,1
Polymers  Plastics Organic Chemistry Materials Chemistry,1
Biomedical Engineering Materials Science  Engineering  Industrial  Manufacturing Engineering,1
Geology Earth-Surface Processes,1
Biophysics Biochemistry Organic Chemistry,1
Oral Surgery Dentistry,1
Biochemistry Genetics Plant Science Developmental Biology Cell Biology,1
Endocrinology Urology,1
Biochemistry Molecular Biology Plant Science Horticulture,1
Chemical Engineering  Physical  Theoretical Chemistry Polymers  Plastics Organic Chemistry Materials Chemistry,1
Cardiology  Cardiovascular Medicine Physiology,1
Civil  Structural Engineering Building  Construction Materials Science  Mechanics  Materials,1
Computer Science  Law,1
Food Science Microbiology Health  Health Pressions  Plant Science,1
Environmental Engineering Environmental Chemistry Waste Management  Disposal Pollution Health Toxicology  Mutagenesis,1
Oral Surgery,1
Pharmacology Pharmaceutical Science,1
Endocrinology Diabetes  Metabolism Nutrition  Dietetics,1
Biochemistry Physiology Clinical Biochemistry Cancer Research,1
Hepatology Virology Infectious Diseases,1
Civil  Structural Engineering Transportation Geotechnical Engineering  Engineering Geology,1
Food Science Agronomy  Crop Science Insect Science Horticulture,1
Electronic Optical  Magnetic Materials Computer Science  Atomic  Molecular Physics  Optics Spectroscopy Physical  Theoretical Chemistry Organic Chemistry Inorganic Chemistry Electrical  Electronic Engineering,1
Civil  Structural Engineering Building  Construction Mechanical Engineering,1
Building  Construction Mechanical Engineering Energy  Management Monitoring Policy  Law,1
Microbiology Immunology  Allergy Immunology Veterinary  Infectious Diseases,1
Public Health Environmental  Occupational Health Genetics,1
Astronomy  Astrophysics,1
Biomaterials Biomedical Engineering Cell Biology Transplantation,1
Environmental Chemistry Aquatic Science,1
Engineering  Media Technology Education,1
Immunology Pharmacology,1
Control  Systems Engineering Renewable Energy Sustainability   Environment Energy Engineering  Power Technology Electrical  Electronic Engineering,1
Radiation Radiological  Ultrasound Technology Biophysics Radiology Nuclear Medicine  Imaging,1
Molecular Biology Genetics Virology,1
Rheumatology,1
Endocrinology Diabetes  Metabolism Orthopedics  Sports Medicine,1
Chemistry  Mamatics  Agricultural  Biological Sciences  Physics  Astronomy  Earth  Planetary Sciences,1
Structural Biology Biochemistry Organic Chemistry Computational Mamatics,1
Algebra  Number Theory Applied Mamatics,1
Immunology  Allergy Molecular Biology Immunology  Microbiology  Microbiology  Infectious Diseases,1
Pathology  Forensic Medicine,1
Chemistry  Aging Pharmaceutical Science Drug Discovery Dermatology Colloid  Surface Chemistry,1
Immunology  Allergy Immunology Genetics,1
Radiology Nuclear Medicine  Imaging Neurology Cognitive Neuroscience Neurology  Cellular  Molecular Neuroscience Psychiatry  Mental Health Behavioral Neuroscience,1
Medicine  Biochemistry Genetics  Molecular Biology  Agricultural  Biological Sciences,1
Biochemistry Molecular Biology Genetics  Cell Biology,1
Civil  Structural Engineering Building  Construction Materials Science,1
Artificial Intelligence Computer Networks  Communications Computer Science Applications Information Systems  Management,1
Management  Technology  Innovation Marketing Strategy  Management Artificial Intelligence Computer Networks  Communications Computer Science Applications Health Informatics Safety Research,1
Polymers  Plastics Process Chemistry  Technology Organic Chemistry,1
Education Computer Science Applications Library  Information Sciences,1
Accounting Business Management  Accounting  Economics Econometrics  Finance,1
Biochemistry Molecular Medicine Molecular Biology Pharmaceutical Science Drug Discovery Clinical Biochemistry Organic Chemistry,1
Biochemistry Molecular Medicine,1
Organic Chemistry,1
Computational Mechanics Modeling  Simulation Fluid Flow  Transfer Processes,1
Organic Chemistry Polymers  Plastics Inorganic Chemistry Materials Chemistry,1
Arts  Humanities,1
Pathology  Forensic Medicine Otorhinolaryngology Oncology,1
Education Applied Psychology Psychology,1
Geotechnical Engineering  Engineering Geology Geology,1
Hematology Transplantation,1
Electronic Optical  Magnetic Materials Surfaces Coatings  Films Electrical  Electronic Engineering,1
Accounting Finance Economics  Econometrics,1
Parasitology Ecology Evolution Behavior  Systematics Veterinary  Insect Science,1
Geotechnical Engineering  Engineering Geology Earth  Planetary Sciences,1
Anatomy Pathology  Forensic Medicine,1
Immunology Pharmacology Infectious Diseases Pharmacology,1
Medicine  Nutrition  Dietetics,1
Geotechnical Engineering  Engineering Geology,1
Pathology  Forensic Medicine Histology,1
Renewable Energy Sustainability   Environment Fuel Technology Engineering  Energy Engineering  Power Technology Energy  Control  Optimization Electrical  Electronic Engineering,1
